City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,morehead city,34.7229,-76.726,18.0,81,20,2.06,US,1702166599
333,apolinario saravia,-24.4328,-63.9954,25.84,69,86,4.08,AR,1702166599
334,dul'durga,50.6761,113.5931,-26.4,92,10,2.09,RU,1702166599
335,tindouf,27.6711,-8.1474,18.25,34,0,1.03,DZ,1702166599
336,bhimunipatnam,17.8833,83.4333,21.73,86,16,2.18,IN,1702166600
337,puerto colombia,10.9878,-74.9547,27.05,88,13,9.67,CO,1702166600
338,poronaysk,49.2167,143.1167,-10.59,71,5,8.55,RU,1702166600
339,kruisfontein,-34.0033,24.7314,13.82,88,94,1.48,ZA,1702166600
340,grinnell,41.743,-92.7224,0.99,84,100,7.2,US,1702166601
341,vadso,70.0744,29.7487,-11.91,85,100,7.2,NO,1702166601
342,sisimiut,66.9395,-53.6735,-7.94,81,100,3.38,GL,1702166601
343,qaqortoq,60.7167,-46.0333,-4.72,73,100,2.99,GL,1702166602
344,quillacollo,-17.4,-66.2833,25.04,31,75,3.09,BO,1702166602
345,baharly,38.4362,57.4316,8.67,52,100,4.63,TM,1702166602
346,chambas,22.1928,-78.9136,23.19,78,68,4.08,CU,1702166603
347,shenjiamen,29.9576,122.298,16.71,87,71,3.63,CN,1702166603
348,charters towers,-20.1,146.2667,28.09,40,7,2.7,AU,1702166603
349,minas de marcona,-15.2119,-75.1103,15.98,79,99,5.13,PE,1702166603
350,playa blanca,28.8643,-13.8281,21.11,83,5,4.33,ES,1702166603
351,nenjiang,49.1833,125.2167,-27.83,89,8,2.35,CN,1702166603
352,namie,37.4833,141.0,18.32,70,0,3.61,JP,1702166545
353,choyr,46.3611,108.3611,-19.55,77,96,1.14,MN,1702166604
354,yarmouth,41.7057,-70.2286,9.54,89,100,2.68,US,1702166331
355,lavrio,37.7145,24.0565,12.63,75,34,5.11,GR,1702166604
356,baruun-urt,46.6806,113.2792,-27.53,81,4,0.66,MN,1702166604
357,orkney,-26.9802,26.6727,23.29,37,100,2.64,ZA,1702166605
358,dudinka,69.4058,86.1778,-31.85,96,99,1.34,RU,1702166605
